timestamp,alive,status,communication_delta,fish_progress_delta,silence_delta
2026-02-18T18:41:16.076776+00:00,True,INIT,0.0,0.0,0.0
2026-02-18T18:41:16.325998+00:00,True,ALIVE,0.002008199691772461,0.2492234706878662,0.2492225170135498
2026-02-18T18:41:16.555492+00:00,True,ALIVE,0.0,0.23150181770324707,0.2294936180114746
2026-02-18T18:41:16.752265+00:00,True,ALIVE,0.0,0.19677329063415527,0.19677329063415527
2026-02-18T18:41:16.967883+00:00,True,ALIVE,0.0017421245574951172,0.21387577056884766,0.21561789512634277
2026-02-18T18:41:17.151161+00:00,True,ALIVE,0.0,0.18502044677734375,0.18327832221984863
2026-02-18T18:41:17.336968+00:00,True,ALIVE,0.0,0.18379831314086914,0.18379831314086914
2026-02-18T18:41:17.529782+00:00,True,ALIVE,0.0,0.19482207298278809,0.19482207298278809
2026-02-18T18:41:17.705907+00:00,True,ALIVE,0.0,0.17612528800964355,0.17612528800964355
2026-02-18T18:41:17.893186+00:00,True,ALIVE,0.0,0.18727946281433105,0.18727946281433105
2026-02-18T18:41:18.069085+00:00,True,ALIVE,0.0020084381103515625,0.1738903522491455,0.17589879035949707
2026-02-18T18:41:18.251299+00:00,True,ALIVE,0.0,0.18422245979309082,0.18221402168273926
2026-02-18T18:41:18.430069+00:00,True,ALIVE,0.0,0.17876935005187988,0.17876935005187988
2026-02-18T18:41:18.614044+00:00,True,ALIVE,0.0,0.1839756965637207,0.1839756965637207
2026-02-18T18:41:18.783980+00:00,True,ALIVE,0.0,0.16792750358581543,0.16792750358581543
2026-02-18T18:41:18.972539+00:00,True,ALIVE,0.0020074844360351562,0.18856000900268555,0.1905674934387207
2026-02-18T18:41:19.160448+00:00,True,ALIVE,0.0,0.18991684913635254,0.18790936470031738
2026-02-18T18:41:19.337340+00:00,True,ALIVE,0.0,0.17488312721252441,0.17488312721252441
2026-02-18T18:41:19.550937+00:00,True,ALIVE,0.0,0.21460700035095215,0.21460700035095215
2026-02-18T18:41:19.840108+00:00,True,ALIVE,0.0,0.2881965637207031,0.2881965637207031
2026-02-18T18:41:20.064631+00:00,True,ALIVE,0.0,0.22649550437927246,0.22649550437927246
2026-02-18T18:41:20.258824+00:00,True,ALIVE,0.0,0.19419336318969727,0.19419336318969727
